chargeDescription,codeUcr,count,comb,category
SEND/EXHIBIT/ETC HARMFUL MATTER TO MINOR:INTENT TO SEDUCE,S,1,SEND/EXHIBIT/ETC HARMFUL MATTER TO MINOR:INTENT TO SEDUCE - S,0
SEND/POSS OBSCENE MATTER (M),S,1,SEND/POSS OBSCENE MATTER (M) - S,0
SEND/SELL OBSCENE MATTER DEPICTING MINOR (F),S,1,SEND/SELL OBSCENE MATTER DEPICTING MINOR (F) - S,0
SEND/SELL/ETC OBSCENE MATTER DEPICTING MINOR,S,5,SEND/SELL/ETC OBSCENE MATTER DEPICTING MINOR - S,0
SEXUAL BATTERY,S,13,SEXUAL BATTERY - S,0
SEXUAL BATTERY (F),S,45,SEXUAL BATTERY (F) - S,0
SEXUAL BATTERY (M),S,304,SEXUAL BATTERY (M) - S,0
SEXUAL BATTERY OF RESTRAINED OR INCAPACITATED PERSON (F),S,2,SEXUAL BATTERY OF RESTRAINED OR INCAPACITATED PERSON (F) - S,0
SEXUAL BATTERY OF RESTRAINED OR INCAPACITATED PERSON (M),S,1,SEXUAL BATTERY OF RESTRAINED OR INCAPACITATED PERSON (M) - S,0
SEXUAL BATTERY ON MED INSTITUTIONALIZED PERS (F),S,4,SEXUAL BATTERY ON MED INSTITUTIONALIZED PERS (F) - S,0
SEXUAL BATTERY: FRAUDULENT MEANS REPRESENTING PROF PURPOSE (F),S,3,SEXUAL BATTERY: FRAUDULENT MEANS REPRESENTING PROF PURPOSE (F) - S,0
SUPERVISE/ETC PROSTITUTION ACTIVITIES (M),S,4,SUPERVISE/ETC PROSTITUTION ACTIVITIES (M) - S,0
TAKE PERS FOR ILLICIT RELATIONS (F),S,1,TAKE PERS FOR ILLICIT RELATIONS (F) - S,0
TOUCH PERSON INTIMATELY AGAINST WILL FOR SEXUAL AROUSAL/E,S,40,TOUCH PERSON INTIMATELY AGAINST WILL FOR SEXUAL AROUSAL/E - S,0
TOUCH PERSON INTIMATELY AGAINST WILL FOR SEXUAL AROUSAL/ETC (M),S,7,TOUCH PERSON INTIMATELY AGAINST WILL FOR SEXUAL AROUSAL/ETC (M) - S,0
UNL SEX INTERCOURSE W/MINOR:MORE THAN 3 YRS YOUNGER (F),S,20,UNL SEX INTERCOURSE W/MINOR:MORE THAN 3 YRS YOUNGER (F) - S,0
UNL SEXUAL INTERCOURSE W/MINOR:PERP 21+ VIC -16 (F),S,13,UNL SEXUAL INTERCOURSE W/MINOR:PERP 21+ VIC -16 (F) - S,0
UNLAWFUL SEXUAL INTERCORSE W/MINOR: 3 YRS OLD OR YOUNGER,S,2,UNLAWFUL SEXUAL INTERCORSE W/MINOR: 3 YRS OLD OR YOUNGER - S,0
UNLAWFUL SEXUAL INTERCOURSE / VICTIM UNDER 18,S,2,UNLAWFUL SEXUAL INTERCOURSE / VICTIM UNDER 18 - S,0
UNLAWFUL SEXUAL INTERCOURSE W / MINOR 18,S,1,UNLAWFUL SEXUAL INTERCOURSE W / MINOR 18 - S,0
UNLAWFUL SEXUAL INTERCOURSE W/MINOR 18 (F),S,26,UNLAWFUL SEXUAL INTERCOURSE W/MINOR 18 (F) - S,0
UNLAWFUL SEXUAL INTERCOURSE W/MINOR: MORE THAN 3 YEARS OLD,S,1,UNLAWFUL SEXUAL INTERCOURSE W/MINOR: MORE THAN 3 YEARS OLD - S,0
UNLAWFUL SEXUAL INTERCOURSE W/MINOR:3 YRS OLDER OR YOUNGER (M),S,14,UNLAWFUL SEXUAL INTERCOURSE W/MINOR:3 YRS OLDER OR YOUNGER (M) - S,0
ALTER WILL (F),Y,2,ALTER WILL (F) - Y,0
ALTER/FORGE/FALSIFY DRVRS LIC/IDENT (F),Y,5,ALTER/FORGE/FALSIFY DRVRS LIC/IDENT (F) - Y,0
ATTEMPTED FORGERY,Y,2,ATTEMPTED FORGERY - Y,0
COUNTERFEITING GOLD OR SILVER (F),Y,1,COUNTERFEITING GOLD OR SILVER (F) - Y,0
FORGE ACCESS CARD TO DEFRAUD (F),Y,1,FORGE ACCESS CARD TO DEFRAUD (F) - Y,0
FORGE OFFICIAL SEAL (F),Y,1,FORGE OFFICIAL SEAL (F) - Y,0
FORGE/ALTER VEH REGISTRATION (F),Y,7,FORGE/ALTER VEH REGISTRATION (F) - Y,0
FORGE/ALTER VEHICLE REGISTRATION/ETC,Y,1,FORGE/ALTER VEHICLE REGISTRATION/ETC - Y,0
FORGE/ALTER VEHICLE REGISTRATION/ETC (M),Y,3,FORGE/ALTER VEHICLE REGISTRATION/ETC (M) - Y,0
FORGE/HANDWRITING (F),Y,7,FORGE/HANDWRITING (F) - Y,0
FORGE/HANDWRITING (M),Y,4,FORGE/HANDWRITING (M) - Y,0
FORGERY,Y,70,FORGERY - Y,0
FORGERY (F),Y,158,FORGERY (F) - Y,0
FORGERY (M),Y,16,FORGERY (M) - Y,0
FORGERY THAT DOES NOT EXCEED $950 (M),Y,1,FORGERY THAT DOES NOT EXCEED $950 (M) - Y,0
FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (F),Y,168,FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (F) - Y,0
FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (M),Y,12,FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (M) - Y,0
FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES/ETC.,Y,19,FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES/ETC. - Y,0
INSUFFICIENT FUNDS:CHECKS/DRAFTS (F),Y,9,INSUFFICIENT FUNDS:CHECKS/DRAFTS (F) - Y,0
INSUFFICIENT FUNDS:CHECKS/DRAFTS/ETC (M),Y,2,INSUFFICIENT FUNDS:CHECKS/DRAFTS/ETC (M) - Y,0
"INSUFFICIENT FUNDS:CHECKS/DRAFTS/ETC, (>$950) (F)",Y,2,"INSUFFICIENT FUNDS:CHECKS/DRAFTS/ETC, (>$950) (F) - Y",0
"INSUFFICIENT FUNDS:CHECKS/DRAFTS/ETC, ($950 OR LESS) (M)",Y,1,"INSUFFICIENT FUNDS:CHECKS/DRAFTS/ETC, ($950 OR LESS) (M) - Y",0
MAKE FALSE ENTRIES IN RECORDS (F),Y,1,MAKE FALSE ENTRIES IN RECORDS (F) - Y,0
MAKE/CIRCULATE UNAUTH PAPER MONEY (M),Y,2,MAKE/CIRCULATE UNAUTH PAPER MONEY (M) - Y,0
MAKE/PASS FICTITIOUS CHECK UNDER $950 (M),Y,7,MAKE/PASS FICTITIOUS CHECK UNDER $950 (M) - Y,0
MAKE/PASS/PUBLISH FICTITIOUS CHECK/BILL/NOTE (F),Y,44,MAKE/PASS/PUBLISH FICTITIOUS CHECK/BILL/NOTE (F) - Y,0
MAKE/PASS/PUBLISH/ETC FICTITIOUS CHECK/BILL/NOTE,Y,11,MAKE/PASS/PUBLISH/ETC FICTITIOUS CHECK/BILL/NOTE - Y,0
MAKE/POSS COUNTERFEIT MINTING PLATES (F),Y,4,MAKE/POSS COUNTERFEIT MINTING PLATES (F) - Y,0
PASS COMPLETED CHECK WITH INTENT TO DEFRAUD (F),Y,25,PASS COMPLETED CHECK WITH INTENT TO DEFRAUD (F) - Y,0
POSS BAD CHECK (F),Y,12,POSS BAD CHECK (F) - Y,0
POSSESS DRIVER'S LICENSE/IDENTIFICATION TO COMMIT FORGERY (F),Y,9,POSSESS DRIVER'S LICENSE/IDENTIFICATION TO COMMIT FORGERY (F) - Y,0
POSSESS/PASS COMPLETED CHECK/ETC:INTENT:DEFRAUD,Y,5,POSSESS/PASS COMPLETED CHECK/ETC:INTENT:DEFRAUD - Y,0
24 HR ALCOHOL BAN IN MISSION/PACIFIC BEACH (M),Z,1,24 HR ALCOHOL BAN IN MISSION/PACIFIC BEACH (M) - Z,0
2ND TRESPASS ON PRIVATE BUSINESS PREMISES W/IN 48 HOURS (M),Z,1,2ND TRESPASS ON PRIVATE BUSINESS PREMISES W/IN 48 HOURS (M) - Z,0
ACTS COMMITTED IN FACILITIES OR VEHICLES OF PUBLIC TRANSPORT,Z,1,ACTS COMMITTED IN FACILITIES OR VEHICLES OF PUBLIC TRANSPORT - Z,0
"AIR GUNS, SLING SHOTS, POINTED MISSILES PROHIBITED (M)",Z,2,"AIR GUNS, SLING SHOTS, POINTED MISSILES PROHIBITED (M) - Z",0
ATT GAIN OR GAIN ADMIT TO STADIUM W/O TICKET OR WHEN NO EVENT (I),Z,3,ATT GAIN OR GAIN ADMIT TO STADIUM W/O TICKET OR WHEN NO EVENT (I) - Z,0
BICYCLES AT PARK/BEACH (M),Z,1,BICYCLES AT PARK/BEACH (M) - Z,0
BONFIRES ON THE BEACH (M),Z,1,BONFIRES ON THE BEACH (M) - Z,0
BUSINESS LICENSE REQUIRED (M),Z,1,BUSINESS LICENSE REQUIRED (M) - Z,0
CAMPING ON PARK/BEACH (M),Z,71,CAMPING ON PARK/BEACH (M) - Z,0
CAUSING BREACH OF PEACE BY PICKETING (M),Z,1,CAUSING BREACH OF PEACE BY PICKETING (M) - Z,0
CONSTRUCTION NOISE (M),Z,1,CONSTRUCTION NOISE (M) - Z,0
DAYTIME LOITERING - ALTERNATIVE EDUCATION (M),Z,2,DAYTIME LOITERING - ALTERNATIVE EDUCATION (M) - Z,0
DAYTIME LOITERING - COMPULSORY EDUCATION (M),Z,21,DAYTIME LOITERING - COMPULSORY EDUCATION (M) - Z,0
DESTRUCTION OF PLANTS AT PARK/BEACH (M),Z,2,DESTRUCTION OF PLANTS AT PARK/BEACH (M) - Z,0
DISCHARGE OF FIREARMS/EXPLOSIVES WITHIN S.D. CITY PROHIBITED (I),Z,4,DISCHARGE OF FIREARMS/EXPLOSIVES WITHIN S.D. CITY PROHIBITED (I) - Z,0
DISCHARGING FIREARMS/EXPLODING EXPLOSIVES IN CITY (M),Z,6,DISCHARGING FIREARMS/EXPLODING EXPLOSIVES IN CITY (M) - Z,0
DISORDERLY CONDUCT/OFFENSIVE CONDUCT (I),Z,1,DISORDERLY CONDUCT/OFFENSIVE CONDUCT (I) - Z,0
"DISTURBING,EXCESSIVE,OFFENSIVE NOISE VIOLATIONS (M)",Z,2,"DISTURBING,EXCESSIVE,OFFENSIVE NOISE VIOLATIONS (M) - Z",0
DRINKING IN CONTROLLED AREA (M),Z,9,DRINKING IN CONTROLLED AREA (M) - Z,0
ELDER OR DEPENDENT ADULT ABUSE DEFINITION,Z,7,ELDER OR DEPENDENT ADULT ABUSE DEFINITION - Z,0
EXCESSIVE NOISE IN PUBLIC PARKS/BEACHES/PARKING LOTS/ETC (M),Z,1,EXCESSIVE NOISE IN PUBLIC PARKS/BEACHES/PARKING LOTS/ETC (M) - Z,0
FAIL TO PROVIDE ID/VEH DATA/FINANCIAL RESPONSIBILITY:ACCIDENT (I),Z,3,FAIL TO PROVIDE ID/VEH DATA/FINANCIAL RESPONSIBILITY:ACCIDENT (I) - Z,0
FARE EVASION (M),Z,1,FARE EVASION (M) - Z,0
FARE EVASION W/PRIORS (M),Z,3,FARE EVASION W/PRIORS (M) - Z,0
FIRES OUTSIDE FIRE RINGS ON BEACH (M),Z,4,FIRES OUTSIDE FIRE RINGS ON BEACH (M) - Z,0
GENERAL PROHIBITION AGAINST DISTURBING/EXCESSIVE/OFFENSIVE NOISE (M),Z,5,GENERAL PROHIBITION AGAINST DISTURBING/EXCESSIVE/OFFENSIVE NOISE (M) - Z,0
GLASS CONTAINER ON BEACH (M),Z,1,GLASS CONTAINER ON BEACH (M) - Z,0
GLASS CONTAINER ON PARK/BEACH (M),Z,4,GLASS CONTAINER ON PARK/BEACH (M) - Z,0
HUMAN HABITATION PROHIBITED IN PARKED CARS ON PUBLIC STREETS (I),Z,1,HUMAN HABITATION PROHIBITED IN PARKED CARS ON PUBLIC STREETS (I) - Z,0
ILLEGAL STREET RACING VIOLATION (M),Z,1,ILLEGAL STREET RACING VIOLATION (M) - Z,0
INTERFERING WITH TRAFFIC PED STAND IN ROADWAY (I),Z,1,INTERFERING WITH TRAFFIC PED STAND IN ROADWAY (I) - Z,0
LITTERING (M),Z,16,LITTERING (M) - Z,0
LOITERING (M),Z,7,LOITERING (M) - Z,0
LOOSE ANIMALS AT THE BEACH/PARK (M),Z,1,LOOSE ANIMALS AT THE BEACH/PARK (M) - Z,0
LOOSE ANIMALS IN OR UPON ANY CITY OWNED PARK OR PLAZA (I),Z,1,LOOSE ANIMALS IN OR UPON ANY CITY OWNED PARK OR PLAZA (I) - Z,0
MASSAGE PARLOUR REG --- PROHIBITED TOUCHING (M),Z,1,MASSAGE PARLOUR REG --- PROHIBITED TOUCHING (M) - Z,0
MASSAGE PARLOUR REGULATIONS (M),Z,2,MASSAGE PARLOUR REGULATIONS (M) - Z,0
MISCELLANEOUS (I),Z,1,MISCELLANEOUS (I) - Z,0
NO PERSON SHALL ENTER ONTO FIELD NOT OPEN TO GENERAL PUBLIC (I),Z,3,NO PERSON SHALL ENTER ONTO FIELD NOT OPEN TO GENERAL PUBLIC (I) - Z,0
NOONE UNDER THE INFLUENCE OF LIQUOR/NAROTICS IS TO BE IN VECHILE (I),Z,21,NOONE UNDER THE INFLUENCE OF LIQUOR/NAROTICS IS TO BE IN VECHILE (I) - Z,0
OBSTRUCTING FREE USE OF THE SIDEWALK (I),Z,1,OBSTRUCTING FREE USE OF THE SIDEWALK (I) - Z,0
OBSTRUCTING PUBLIC PLACES --- PROHIBITED (M),Z,1,OBSTRUCTING PUBLIC PLACES --- PROHIBITED (M) - Z,0
OPEN ALCOHOLIC BEVERAGE IN CITY LOT. (I),Z,2,OPEN ALCOHOLIC BEVERAGE IN CITY LOT. (I) - Z,0
OVERNIGHT CAMPING PARK/BEACH (I),Z,99,OVERNIGHT CAMPING PARK/BEACH (I) - Z,0
PARENT/GUARDIAN ALLOWING JUVENILE CURFEW VIOLATION (M),Z,2,PARENT/GUARDIAN ALLOWING JUVENILE CURFEW VIOLATION (M) - Z,0
PASSENGER 16+ FAIL TO WEAR SAFETY BELT (I),Z,1,PASSENGER 16+ FAIL TO WEAR SAFETY BELT (I) - Z,0
PEDESTRIAN ON FREEWAY (I),Z,3,PEDESTRIAN ON FREEWAY (I) - Z,0
PUBLIC NUDITY (M),Z,12,PUBLIC NUDITY (M) - Z,0
SLEEPING ON BEACH (M),Z,6,SLEEPING ON BEACH (M) - Z,0
SMOKING PROHIBITED IN PUBLIC PARK OR BEACH (I),Z,1,SMOKING PROHIBITED IN PUBLIC PARK OR BEACH (I) - Z,0
TAMPERING OR REMOVAL OF REFUSE (M),Z,2,TAMPERING OR REMOVAL OF REFUSE (M) - Z,0
THROWING LIGHTED SUBSTANCE ON GROUND (M),Z,2,THROWING LIGHTED SUBSTANCE ON GROUND (M) - Z,0
TREPASS ON PRIVATE BUSINESS PREMISES,Z,5,TREPASS ON PRIVATE BUSINESS PREMISES - Z,0
TREPASS ON PRIVATE BUSINESS PREMISES (M),Z,9,TREPASS ON PRIVATE BUSINESS PREMISES (M) - Z,0
TREPASS ON PRIVATE PROPERTY (M),Z,1,TREPASS ON PRIVATE PROPERTY (M) - Z,0
TRESPASS ON PRIVATE BUSINESS PREMISES WITHIN 48 HOURS (I),Z,1,TRESPASS ON PRIVATE BUSINESS PREMISES WITHIN 48 HOURS (I) - Z,0
UNABLE TO PROVE ELIGIBILITY FOR A DISCOUNTED TICKET (I),Z,2,UNABLE TO PROVE ELIGIBILITY FOR A DISCOUNTED TICKET (I) - Z,0
UNAUTH PERSON FAIL TO LEAVE PUBLIC SCHOOL UPON REQUEST (M),Z,1,UNAUTH PERSON FAIL TO LEAVE PUBLIC SCHOOL UPON REQUEST (M) - Z,0
UNAUTHORIZED COLLECTION PROHIBITED (M),Z,1,UNAUTHORIZED COLLECTION PROHIBITED (M) - Z,0
UNAUTHORIZED ENCROACHMENTS PROHIBITED (M),Z,930,UNAUTHORIZED ENCROACHMENTS PROHIBITED (M) - Z,0
UNLAWFUL DESIGNATION OF SMOKING AREA (I),Z,1,UNLAWFUL DESIGNATION OF SMOKING AREA (I) - Z,0
UNLAWFUL POSSESSION OF SPRAY PAINT BY MINOR (I),Z,3,UNLAWFUL POSSESSION OF SPRAY PAINT BY MINOR (I) - Z,0
UNLEASHED DOGS PROHIB 0900-1800 ON BEACH/BOARDWALK/ADJACENT PARK (M),Z,1,UNLEASHED DOGS PROHIB 0900-1800 ON BEACH/BOARDWALK/ADJACENT PARK (M) - Z,0
URINATING/DEFECATING IN PUBLIC (M),Z,8,URINATING/DEFECATING IN PUBLIC (M) - Z,0
USE OF GRADE SEPARATIONS BY PEDESTRIANS (I),Z,1,USE OF GRADE SEPARATIONS BY PEDESTRIANS (I) - Z,0
USE OF RESTROOMS AT PARK/BEACH (M),Z,1,USE OF RESTROOMS AT PARK/BEACH (M) - Z,0
USE OR KNOWINGLY ALLOWS 911 CALLS FOR OTHER THAN EMERGENCY (I),Z,2,USE OR KNOWINGLY ALLOWS 911 CALLS FOR OTHER THAN EMERGENCY (I) - Z,0
VEHICLE HABITATION ORDINANCE (M),Z,39,VEHICLE HABITATION ORDINANCE (M) - Z,0
VIOLATE POSTED BEACH/PARK REGULATION (M),Z,3,VIOLATE POSTED BEACH/PARK REGULATION (M) - Z,0
VIOLATE PROVISIONAL DRV PERMIT REQUIREMENTS (I),Z,1,VIOLATE PROVISIONAL DRV PERMIT REQUIREMENTS (I) - Z,0
VIOLATION OF POSTED PARK SIGNS (I),Z,6,VIOLATION OF POSTED PARK SIGNS (I) - Z,0
VIOLATION OF POSTED PARK SIGNS (M),Z,80,VIOLATION OF POSTED PARK SIGNS (M) - Z,0
WARES/MERCHANDISE DISPLAYED ON SIDEWALK --- PROHIBITED,Z,1,WARES/MERCHANDISE DISPLAYED ON SIDEWALK --- PROHIBITED - Z,0
WARES/MERCHANDISE DISPLAYED ON SIDEWALK --- PROHIBITED (M),Z,1,WARES/MERCHANDISE DISPLAYED ON SIDEWALK --- PROHIBITED (M) - Z,0
